표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7098120009","098120","(주)마이크로컨텍솔루션","마이크로컨텍솔","Micro Contact Solution Co.,Ltd.","2008/09/23","KOSDAQ","주권","중견기업부","보통주","500","8312766"
"KR7009520008","009520","(주)포스코엠텍","포스코엠텍","POSCO M-TECH CO.,LTD.","1997/11/10","KOSDAQ GLOBAL","주권","우량기업부","보통주","500","41642703"
"KR7058820002","058820","CMG제약","CMG제약","CMG Pharmaceutical Co., Ltd.","2001/08/31","KOSDAQ","주권","중견기업부","보통주","500","147842183"
"KR7050120005","050120","ES큐브","ES큐브","ES CUBE","2002/04/25","KOSDAQ","주권","중견기업부","보통주","5000","13564086"
"KR7024850000","024850","HLB이노베이션","HLB이노베이션","HLB innoVation","2001/01/18","KOSDAQ","주권","중견기업부","보통주","500","157382650"
"KR7024120008","024120","KB오토시스","KB오토시스","KB Autosys Co.,Ltd","1994/12/07","KOSDAQ","주권","중견기업부","보통주","500","11500000"
"KR7044180008","044180","KD","KD","KD Corporation","2000/11/16","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","26717799"
"KR7086960002","086960","MDS테크","MDS테크","MDS Tech","2006/09/26","KOSDAQ","주권","중견기업부","보통주","200","102692420"
"KR7063570006","063570","NICE인프라","NICE인프라","NICE Infra","2006/07/14","KOSDAQ","주권","우량기업부","보통주","500","34147728"
"KR7079940003","079940","가비아","가비아","GABIA, Inc.","2005/10/19","KOSDAQ","주권","우량기업부","보통주","500","13420684"
"KR7078890001","078890","가온그룹","가온그룹","KAON Group","2005/07/12","KOSDAQ","주권","중견기업부","보통주","500","18424943"
"KR7399720002","399720","가온칩스","가온칩스","GAONCHIPS CO., LTD.","2022/05/20","KOSDAQ","주권","우량기업부","보통주","500","11600420"
"KR7036620003","036620","감성코퍼레이션","감성코퍼레이션","GAMSUNG Corporation","2000/01/11","KOSDAQ","주권","우량기업부","보통주","500","90503771"
"KR7198440000","198440","강동씨앤엘","강동씨앤엘","KANGDONG C&L","2014/08/13","KOSDAQ","주권","중견기업부","보통주","100","60931896"
"KR7217730001","217730","강스템바이오텍","강스템바이오텍","KANGSTEM BIOTECH CO., LTD.","2015/12/21","KOSDAQ","주권","기술성장기업부","보통주","500","94054149"
"KR7114190002","114190","강원에너지","강원에너지","KANGWON ENERGY","2009/11/20","KOSDAQ","주권","우량기업부","보통주","500","26123038"
"KR7094480001","094480","갤럭시아머니트리","갤럭시아머니트리","GalaxiaMoneytree Co.,Ltd.","2007/07/20","KOSDAQ","주권","중견기업부","보통주","500","39229838"
"KR7039240007","039240","경남스틸","경남스틸","Kyeong Nam Steel Co., LTD","2000/03/07","KOSDAQ","주권","우량기업부","보통주","100","26979604"
"KR7053950002","053950","경남제약","경남제약","KYUNG NAM PHARM.CO.,LTD.","2001/11/06","KOSDAQ","주권","중견기업부","보통주","100","78147358"
"KR7011040003","011040","경동제약","경동제약","KyungdongPharm","1992/12/18","KOSDAQ","주권","중견기업부","보통주","500","30768766"
